space_id,space_name,space_longname,spatialzone_name,spatialzone_longname,spatialzone_type,storey_id,storey_name,building_id,building_name
12626d0f-e41e-4c83-a4fd-16605fc725e8,3.02,toilet,00.03 Apartment,00.03 Apartment,Private Parts - Apartment,9c82359a-67c3-49ce-9749-d081f3aa1901,00 begane grond,00dd6c87-6a6e-f482-7490-e6613659708a,Building
763100a6-79f9-4425-9ed3-90b2ce20153a,3.03,woonkamer,00.03 Apartment,00.03 Apartment,Private Parts - Apartment,9c82359a-67c3-49ce-9749-d081f3aa1901,00 begane grond,00dd6c87-6a6e-f482-7490-e6613659708a,Building
40fd27f7-2aaf-43ab-9915-04a305acf1b0,3.04,keuken,00.03 Apartment,00.03 Apartment,Private Parts - Apartment,9c82359a-67c3-49ce-9749-d081f3aa1901,00 begane grond,00dd6c87-6a6e-f482-7490-e6613659708a,Building
f20e64e4-6691-4145-9449-31e4f1a6c020,3.05,gang,00.03 Apartment,00.03 Apartment,Private Parts - Apartment,9c82359a-67c3-49ce-9749-d081f3aa1901,00 begane grond,00dd6c87-6a6e-f482-7490-e6613659708a,Building
c95dadc7-fc39-415b-bc49-1dea3691536c,3.06,slaapkamer 1,00.03 Apartment,00.03 Apartment,Private Parts - Apartment,9c82359a-67c3-49ce-9749-d081f3aa1901,00 begane grond,00dd6c87-6a6e-f482-7490-e6613659708a,Building
af73d12f-8a23-40f1-98e9-8c0b1af687ed,3.07,slaapkamer 2,00.03 Apartment,00.03 Apartment,Private Parts - Apartment,9c82359a-67c3-49ce-9749-d081f3aa1901,00 begane grond,00dd6c87-6a6e-f482-7490-e6613659708a,Building
90854a93-f12a-4aaf-b66c-c5b443ef0017,3.08,badkamer,00.03 Apartment,00.03 Apartment,Private Parts - Apartment,9c82359a-67c3-49ce-9749-d081f3aa1901,00 begane grond,00dd6c87-6a6e-f482-7490-e6613659708a,Building
74460c8d-da97-44a5-a333-37d98a05b8ed,3.09,instal. ruimte,00.03 Apartment,00.03 Apartment,Private Parts - Apartment,9c82359a-67c3-49ce-9749-d081f3aa1901,00 begane grond,00dd6c87-6a6e-f482-7490-e6613659708a,Building
a73ec9a0-46af-4151-9975-177460f56999,A0.00,entree,00.00 Common,00.00 Common,Common Parts,9c82359a-67c3-49ce-9749-d081f3aa1901,00 begane grond,00dd6c87-6a6e-f482-7490-e6613659708a,Building
82bd3e52-fb5f-4503-8c39-7acf7df0e6ac,A0.01,instal. ruimte,00.00 Common,00.00 Common,Common Parts,9c82359a-67c3-49ce-9749-d081f3aa1901,00 begane grond,00dd6c87-6a6e-f482-7490-e6613659708a,Building
e35ae068-0478-4e71-9ff9-6d8a19b0323e,A0.02,berging,00.00 Common,00.00 Common,Common Parts,9c82359a-67c3-49ce-9749-d081f3aa1901,00 begane grond,00dd6c87-6a6e-f482-7490-e6613659708a,Building
9e3d3b91-5048-4cee-ad1f-d5debb8ba287,4.00,entree,01.04 Apartment,01.04 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
37e49b23-eb08-436a-b63a-8aad6e9fcbe6,4.01,mk,01.04 Apartment,01.04 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
183cd8e0-ab9d-4c97-9782-2b9c3350d50a,4.02,toilet,01.04 Apartment,01.04 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
8b6e1299-d614-4fc9-b258-55db74423903,4.03,woonkamer,01.04 Apartment,01.04 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
a87bae1f-19a0-4441-b47f-ae791d844acb,4.04,keuken,01.04 Apartment,01.04 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
5b656d6c-e2c1-42bc-bd6c-71290ca1e30c,4.05,slaapkamer 1,01.04 Apartment,01.04 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
cf0cc63a-367b-4555-b7e5-83d432d4f987,4.06,slaapkamer 2,01.04 Apartment,01.04 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
e87e6759-644f-4567-992e-382877efb4f3,4.07,badkamer,01.04 Apartment,01.04 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
09a7206d-82da-4fdd-a5a5-b35b018df683,4.08,instal. ruimte,01.04 Apartment,01.04 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
4adf5603-1d57-48b1-aa81-6cd7caa3230a,5.00,entree,01.05 Apartment,01.05 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
2b802645-17ec-4599-86c9-76b5ea603a06,5.01,mk,01.05 Apartment,01.05 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
8e84831a-e727-437d-89ea-9a533aaec9fe,5.02,toilet,01.05 Apartment,01.05 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
0bdb446f-bc26-45e6-b4d8-29138de8aeac,5.03,woonkamer,01.05 Apartment,01.05 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
592f4e55-c5b3-4d78-a767-bfebf95e25ab,5.04,keuken,01.05 Apartment,01.05 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
38cc76ca-efaa-4ad3-9cbc-30e06e37bcfc,5.05,slaapkamer 1,01.05 Apartment,01.05 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
124a033e-593b-4076-8a8d-7dfa39d131e4,5.06,slaapkamer 2,01.05 Apartment,01.05 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
676b06eb-d7ec-4ec2-8908-92cd912ae31a,5.07,badkamer,01.05 Apartment,01.05 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
5444e211-c46e-4a66-8150-e898f5e25e2b,5.08,instal. ruimte,01.05 Apartment,01.05 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
b6c83c65-9a50-434a-a262-9c7a9866c47f,5.09,kast,01.05 Apartment,01.05 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
a0a6f337-1087-42f1-a96d-34a376b6e0e1,6.00,entree,01.06 Apartment,01.06 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
65ce765b-21bb-4deb-8ea0-16c879183e27,6.01,mk,01.06 Apartment,01.06 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
0982d75a-7284-41c4-8bb2-76b58d57e491,6.02,toilet,01.06 Apartment,01.06 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
2ea86100-b35f-4716-bf36-612c296853e9,6.03,woonkamer,01.06 Apartment,01.06 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
fea074b1-aa73-4bb5-845f-cccdbe74394c,6.04,keuken,01.06 Apartment,01.06 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
dc65dfce-2c8d-4090-bedf-2f67f147815e,6.05,slaapkamer 1,01.06 Apartment,01.06 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
3d07bc83-50d8-48f1-a5c5-2635f880ecbd,6.06,slaapkamer 2,01.06 Apartment,01.06 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
ce99ad82-39ba-4a10-914f-136da87bee84,6.07,badkamer,01.06 Apartment,01.06 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
9061057e-3b37-492d-856c-08647fc48881,6.08,instal. ruimte,01.06 Apartment,01.06 Apartment,Private Parts - Apartment,3813aa95-a06c-4028-b7e4-b21f2cba5b8a,01 eerste verdieping,00dd6c87-6a6e-f482-7490-e6613659708a,Building
